server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct
ref,put-reserve-delete,100,4096,1,2,175976.3,97.8,695.1,1089.0,1265.4,483.7,789.2,948.1,482.2,791.7,928.4,31.89,0,0,none,
rs,put-reserve-delete,100,4096,1,2,203800.1,208.3,486.0,644.8,784.4,486.0,643.3,757.7,485.1,642.8,760.7,29.81,0,0,none,
ref,put-reserve-delete,100,4096,1,2,24127.5,24.2,1315.7,90080.0,125350.4,1340.6,78161.7,124492.6,1172.0,76769.7,124677.5,27.99,0,0,tls,1013.1
rs,put-reserve-delete,100,4096,1,2,188019.0,251.9,528.5,704.7,817.8,529.0,706.4,819.6,525.7,701.0,816.0,33.75,0,0,tls,
ref,put-reserve-delete,100,4096,1,2,24447.2,24.0,1458.2,76680.7,116094.5,1594.5,70875.8,119125.9,1275.2,72311.0,118036.8,31.69,0,0,mtls,1000.5
rs,put-reserve-delete,100,4096,1,2,188401.2,253.5,526.8,715.2,859.8,526.9,716.2,861.4,523.6,712.1,853.3,37.40,0,0,mtls,
ref,put-reserve-delete,100,4096,1,2,106739.3,97.8,1050.1,9194.9,10337.7,703.8,3241.5,9413.1,670.7,1575.6,9195.6,32.25,0,0,default,
rs,put-reserve-delete,100,4096,1,2,173954.1,268.5,546.2,2133.8,2851.0,543.9,2096.4,2868.8,544.3,2110.0,2866.2,30.06,0,0,default,
ref,put-reserve-delete,100,4096,1,2,23488.9,39.6,901.8,102794.5,148342.0,829.0,95171.6,140673.2,846.2,96990.8,136247.8,28.78,0,0,tls-default,988.8
rs,put-reserve-delete,100,4096,1,2,160448.4,308.4,592.2,2174.5,2951.1,590.3,2140.9,2971.9,588.0,2141.4,2953.6,34.64,0,0,tls-default,
ref,put-reserve-delete,100,4096,1,3,179614.5,98.9,693.7,858.0,979.9,482.0,609.8,721.6,480.9,610.3,705.5,32.11,0,0,none,
rs,put-reserve-delete,100,4096,1,3,201362.4,206.0,486.5,747.0,1616.8,486.6,745.7,1630.9,485.7,743.1,1625.2,30.02,0,0,none,
ref,put-reserve-delete,100,4096,1,3,24167.9,22.9,2128.1,71775.3,120564.9,2301.6,66470.0,123426.3,1863.5,74804.6,124802.1,28.01,0,0,tls,1008.5
rs,put-reserve-delete,100,4096,1,3,184070.1,256.5,533.7,786.3,904.7,534.2,788.3,906.9,530.6,783.7,901.6,31.77,0,0,tls,
ref,put-reserve-delete,100,4096,1,3,23981.3,23.0,1820.0,79155.6,126656.1,2045.0,61308.6,126597.5,1641.2,73533.0,126606.6,29.79,0,0,mtls,1017.5
rs,put-reserve-delete,100,4096,1,3,187415.5,253.5,529.2,721.8,838.8,529.7,723.0,843.5,526.3,718.8,842.3,35.49,0,0,mtls,
ref,put-reserve-delete,100,4096,1,3,107274.0,98.0,1043.8,9061.3,10012.9,702.4,7665.3,9644.8,668.6,1623.0,9156.7,33.53,0,0,default,
rs,put-reserve-delete,100,4096,1,3,169659.2,269.0,550.5,2142.5,2953.1,548.2,2098.5,2938.5,548.9,2103.9,2958.6,31.25,0,0,default,
ref,put-reserve-delete,100,4096,1,3,24211.0,41.7,902.6,87155.4,129537.5,842.6,79833.9,127023.7,856.1,89590.7,129463.5,29.38,0,0,tls-default,970.1
rs,put-reserve-delete,100,4096,1,3,162032.0,305.0,589.3,2183.8,2889.2,587.5,2124.1,2893.9,585.5,2136.0,2890.8,34.96,0,0,tls-default,
ref,producers-consumers,10,16,1,1,137352.4,69.0,77.5,116.2,188.4,78.1,116.7,189.3,77.2,115.8,183.9,33.12,0,0,none,
rs,producers-consumers,10,16,1,1,181275.2,133.6,52.9,102.8,161.2,53.2,103.3,162.7,52.7,102.8,160.3,28.57,0,0,none,
ref,producers-consumers,10,16,1,1,36100.3,35.8,281.0,430.4,486.6,282.1,432.0,494.8,281.2,432.8,485.8,24.94,0,0,tls,464.8
rs,producers-consumers,10,16,1,1,171804.8,143.8,55.8,111.3,166.2,56.1,111.6,166.0,55.7,110.6,167.1,22.63,0,0,tls,
ref,producers-consumers,10,16,1,1,36315.4,36.2,280.2,432.8,492.1,280.6,433.0,497.2,280.9,431.6,499.8,19.74,0,0,mtls,461.2
rs,producers-consumers,10,16,1,1,171161.2,144.3,56.0,111.6,168.4,56.3,111.5,170.4,55.8,111.4,168.5,18.72,0,0,mtls,
ref,producers-consumers,10,16,1,1,108138.8,90.5,93.2,192.4,287.1,90.4,187.5,277.6,93.4,193.2,285.0,16.52,0,0,default,
rs,producers-consumers,10,16,1,1,141641.0,166.9,68.5,128.0,206.5,66.9,125.4,202.5,68.2,127.8,205.8,14.67,0,0,default,
ref,producers-consumers,10,16,1,1,37609.8,51.5,267.2,431.1,497.2,262.1,423.1,493.8,264.5,428.1,495.1,13.41,0,0,tls-default,388.0
rs,producers-consumers,10,16,1,1,133489.3,175.1,72.4,142.5,230.7,70.5,139.1,226.8,71.9,141.0,227.9,12.24,0,0,tls-default,
ref,producers-consumers,10,16,1,2,140597.4,69.3,76.2,109.9,144.8,76.9,110.2,146.0,76.0,109.9,146.2,11.11,0,0,none,
rs,producers-consumers,10,16,1,2,180287.3,133.3,53.2,103.9,154.1,53.5,104.1,153.8,52.9,103.5,153.2,10.54,0,0,none,
ref,producers-consumers,10,16,1,2,36099.8,35.9,280.2,425.4,480.3,282.0,426.6,477.8,280.8,426.2,481.3,9.84,0,0,tls,463.2
rs,producers-consumers,10,16,1,2,169275.7,144.5,56.5,116.6,170.3,56.7,117.6,172.9,56.2,116.3,169.7,9.31,0,0,tls,
ref,producers-consumers,10,16,1,2,37395.0,36.9,271.0,418.3,473.5,271.2,418.7,472.9,270.9,417.0,469.1,9.25,0,0,mtls,454.3
rs,producers-consumers,10,16,1,2,166421.5,143.6,56.5,127.8,249.5,56.9,128.8,250.1,56.4,127.6,246.7,9.39,0,0,mtls,
ref,producers-consumers,10,16,1,2,107584.5,89.9,94.7,175.9,252.0,91.7,171.5,250.9,94.7,175.9,249.2,9.50,0,0,default,
rs,producers-consumers,10,16,1,2,131278.2,172.4,71.6,170.8,287.8,69.8,166.7,288.0,71.2,169.1,276.2,9.61,0,0,default,
ref,producers-consumers,10,16,1,2,38703.3,53.1,257.2,444.8,626.9,252.5,440.0,668.2,254.8,443.1,608.2,8.97,0,0,tls-default,357.7
rs,producers-consumers,10,16,1,2,125655.0,179.5,75.1,175.3,295.6,73.2,172.2,288.6,74.7,173.2,293.7,8.95,0,0,tls-default,
ref,producers-consumers,10,16,1,3,133797.8,70.4,77.8,151.2,258.2,78.4,152.8,256.3,77.5,151.2,259.0,8.71,0,0,none,
rs,producers-consumers,10,16,1,3,178285.5,133.5,53.7,106.6,168.2,54.0,107.0,168.7,53.5,106.8,168.2,7.89,0,0,none,
ref,producers-consumers,10,16,1,3,37212.3,37.0,271.3,426.5,512.1,272.2,426.0,514.0,271.2,427.1,516.3,7.58,0,0,tls,446.4
rs,producers-consumers,10,16,1,3,171120.8,145.2,56.1,112.4,163.6,56.3,112.3,165.6,55.8,111.7,164.3,7.93,0,0,tls,
ref,producers-consumers,10,16,1,3,35911.9,36.0,282.1,438.3,505.2,283.3,440.3,498.8,281.8,436.8,501.3,7.55,0,0,mtls,463.6
rs,producers-consumers,10,16,1,3,166824.2,144.5,57.0,122.3,209.0,57.2,123.2,211.6,56.7,121.8,207.1,7.44,0,0,mtls,
ref,producers-consumers,10,16,1,3,107860.2,90.6,94.3,168.3,249.4,91.2,164.6,247.8,94.3,169.0,248.9,7.73,0,0,default,
rs,producers-consumers,10,16,1,3,141026.1,167.5,68.3,135.2,239.0,66.6,131.8,236.4,68.0,134.7,240.0,7.91,0,0,default,
ref,producers-consumers,10,16,1,3,39211.2,52.3,256.0,422.3,504.8,250.9,416.6,494.2,253.3,418.1,492.4,7.71,0,0,tls-default,372.7
rs,producers-consumers,10,16,1,3,134857.7,174.7,71.8,135.4,206.6,70.0,133.0,206.9,71.4,134.6,203.5,8.06,0,0,tls-default,
ref,producers-consumers,10,4096,1,1,128409.8,72.3,86.1,126.5,184.5,77.9,114.6,171.0,75.8,112.6,169.2,8.36,0,0,none,
rs,producers-consumers,10,4096,1,1,170912.3,149.2,56.4,112.9,172.0,56.3,112.5,170.5,55.2,111.8,171.6,7.83,0,0,none,
ref,producers-consumers,10,4096,1,1,36118.2,39.1,286.8,444.4,502.8,275.2,432.2,484.4,270.0,425.6,482.1,7.54,0,0,tls,460.5
rs,producers-consumers,10,4096,1,1,154538.9,165.8,62.8,125.4,177.8,63.2,126.4,174.5,59.8,121.1,169.8,8.30,0,0,tls,
ref,producers-consumers,10,4096,1,1,38331.6,40.7,271.0,417.3,473.0,259.6,407.1,464.3,255.5,398.9,451.1,7.79,0,0,mtls,440.7
rs,producers-consumers,10,4096,1,1,154766.7,165.5,62.7,125.7,178.7,63.1,126.9,175.9,59.7,122.0,174.2,7.56,0,0,mtls,
ref,producers-consumers,10,4096,1,1,96878.8,96.4,98.4,207.7,7591.3,74.7,160.2,7520.2,77.6,165.8,7437.0,7.60,0,0,default,
rs,producers-consumers,10,4096,1,1,127626.9,178.9,72.1,158.8,1157.8,69.6,152.9,1151.6,70.3,154.4,1156.0,7.19,0,0,default,
ref,producers-consumers,10,4096,1,1,37135.1,59.2,267.8,481.9,7480.5,241.2,431.6,7367.0,240.2,441.0,7372.9,7.00,0,0,tls-default,365.5
rs,producers-consumers,10,4096,1,1,116970.9,187.9,79.5,166.0,1171.1,77.4,160.7,1160.7,75.9,160.4,1159.6,7.32,0,0,tls-default,
ref,producers-consumers,10,4096,1,2,128093.5,72.6,86.4,126.8,185.8,77.9,114.9,171.7,75.9,113.1,170.2,7.14,0,0,none,
rs,producers-consumers,10,4096,1,2,169825.5,148.9,56.8,113.4,175.2,56.6,113.1,173.1,55.6,112.1,173.5,6.80,0,0,none,
ref,producers-consumers,10,4096,1,2,37904.0,40.4,273.6,426.2,491.1,262.5,412.8,478.2,257.9,405.8,461.2,6.60,0,0,tls,445.4
rs,producers-consumers,10,4096,1,2,155611.8,166.1,62.3,125.6,176.2,62.7,126.5,174.0,59.2,122.0,171.5,6.79,0,0,tls,
ref,producers-consumers,10,4096,1,2,38307.9,40.6,271.2,424.7,485.7,259.6,412.8,473.5,256.0,407.7,471.5,6.49,0,0,mtls,440.8
rs,producers-consumers,10,4096,1,2,155246.7,166.9,62.5,125.0,169.2,62.8,125.7,170.7,59.4,121.5,164.4,6.31,0,0,mtls,
