server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes
rs,put-reserve-delete,10,16,16,1,325113.1,370.5,400.0,623.1,795.2,402.5,629.0,791.5,399.8,622.2,787.0,11.75,0,0
ref,put-reserve-delete,10,16,16,2,227565.3,96.5,420.2,927.2,1162.8,371.4,792.2,1063.0,365.7,813.5,1060.0,11.77,0,0
rs,put-reserve-delete,10,16,16,2,319567.2,371.2,406.3,625.7,699.5,408.6,628.9,701.6,405.7,621.2,692.5,11.39,0,0
ref,put-reserve-delete,10,16,16,3,235246.6,98.0,404.1,1115.8,1939.6,357.0,1080.0,1962.6,350.8,1051.0,1967.1,11.36,0,0
rs,put-reserve-delete,10,16,16,3,309999.1,374.8,423.0,647.7,784.6,426.8,651.8,800.6,422.4,643.9,783.3,11.01,0,0
ref,put-reserve-delete,100,16,16,1,224579.1,97.8,3895.6,8298.3,10223.7,4030.7,8656.8,11588.4,3745.0,7896.7,9340.4,11.41,0,0
rs,put-reserve-delete,100,16,16,1,332190.4,407.3,4619.1,6076.8,6674.8,4642.0,6041.8,6575.5,4624.7,6044.8,6658.0,11.14,0,0
ref,put-reserve-delete,100,16,16,2,207573.9,95.9,4113.9,8959.1,10468.0,4334.1,9157.3,10683.4,4029.0,8634.6,10219.7,11.37,0,0
rs,put-reserve-delete,100,16,16,2,327842.5,417.9,4667.5,6061.7,6792.0,4690.8,6051.6,6630.4,4665.4,6019.1,6537.5,11.26,0,0
ref,put-reserve-delete,100,16,16,3,206383.8,95.6,4188.5,9355.2,10821.7,4319.2,9327.0,11753.5,4049.8,8947.8,11957.8,11.48,0,0
rs,put-reserve-delete,100,16,16,3,335637.7,419.7,4600.1,5918.0,6434.6,4617.7,5918.9,6448.8,4601.9,5900.1,6396.2,11.04,0,0
