server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,producers-consumers,10,4096,1,3,18555.9,65.3,376.3,7387.2,16095.7,375.3,7138.0,15600.5,374.8,7437.4,16273.2,4.47,0,0,cluster-follower,,3,follower,142.2,1:F*:54.0;2:F:32.1;3:L:56.1,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,4,169518.9,148.9,56.8,115.8,177.6,56.7,115.2,177.3,55.8,113.5,175.7,4.26,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,4096,1,4,22832.3,80.9,333.3,2571.5,11764.8,334.5,2571.5,11706.2,333.6,2555.7,11854.3,4.92,0,0,cluster-leader,,3,leader,155.7,1:F:38.6;2:F:38.9;3:L*:78.2,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,4,17977.2,63.0,377.4,6822.2,15427.4,375.4,6960.7,15580.4,377.0,6595.6,15306.9,5.32,0,0,cluster-follower,,3,follower,147.1,1:F*:55.8;2:F:33.3;3:L:58.0,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,5,163295.8,152.3,58.5,127.7,185.8,58.5,127.1,184.0,57.3,125.8,187.3,5.51,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,4096,1,5,22443.6,83.6,345.8,2848.4,12216.9,347.5,2857.1,12143.2,345.2,2880.7,12745.5,5.15,0,0,cluster-leader,,3,leader,160.2,1:F:39.9;2:F:40.2;3:L*:80.1,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,5,22432.0,81.1,383.2,2355.5,8916.2,382.1,2260.6,8897.8,382.1,2401.2,8889.6,5.33,0,0,cluster-follower,,3,follower,191.0,1:F*:72.1;2:F:43.8;3:L:75.1,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,1,197690.5,212.5,489.2,733.7,974.8,490.2,736.2,990.2,489.0,734.5,988.7,5.13,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,100,16,1,1,132080.6,213.9,747.5,1060.2,1351.0,748.0,1062.9,1343.6,747.7,1064.6,1348.1,5.25,0,0,cluster-leader,,3,leader,238.0,1:F:33.0;2:F:34.1;3:L*:170.9,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,1,101023.1,188.9,964.4,1644.9,3519.7,964.8,1652.7,3510.5,964.1,1645.4,3492.3,5.74,0,0,cluster-follower,,3,follower,240.1,1:F*:152.4;2:F:33.2;3:L:54.5,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,2,197297.6,211.6,489.7,771.2,976.7,490.4,773.2,1005.9,489.5,770.4,988.5,6.14,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,100,16,1,2,127548.9,215.7,772.4,1096.4,1515.3,773.5,1094.5,1455.0,772.2,1093.7,1515.1,6.49,0,0,cluster-leader,,3,leader,243.7,1:F:33.7;2:F:32.8;3:L*:177.2,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,2,97527.9,192.0,1001.8,1567.8,4466.6,1002.2,1564.3,4493.0,1001.0,1567.9,4349.8,6.57,0,0,cluster-follower,,3,follower,244.6,1:F*:155.8;2:F:33.8;3:L:55.0,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,3,171861.0,225.6,545.9,921.8,1227.3,546.8,926.2,1241.4,545.7,921.7,1221.3,7.35,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,100,16,1,3,128286.5,208.3,768.1,1091.8,1308.6,769.2,1091.6,1300.3,767.9,1088.6,1304.0,7.39,0,0,cluster-leader,,3,leader,236.8,1:F:32.1;2:F:32.6;3:L*:172.1,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,3,103531.4,189.4,956.1,1349.6,1752.0,956.9,1348.6,1738.8,955.0,1347.6,1795.6,7.67,0,0,cluster-follower,,3,follower,238.7,1:F*:152.5;2:F:32.5;3:L:53.7,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,4,197381.4,201.1,493.8,755.5,1021.7,494.4,757.9,1038.6,493.3,754.2,1005.1,7.64,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,100,16,1,4,131154.2,207.0,753.0,1072.6,1354.0,753.5,1071.7,1343.6,752.8,1071.2,1363.8,7.14,0,0,cluster-leader,,3,leader,237.2,1:F:33.2;2:F:33.0;3:L*:171.0,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,4,76496.5,171.8,1185.0,2885.8,14514.2,1185.4,2863.6,14490.7,1186.8,2957.1,14736.9,6.64,0,0,cluster-follower,,3,follower,229.8,1:F*:142.8;2:F:32.3;3:L:54.7,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,5,189053.2,208.7,507.2,838.1,1158.1,507.9,840.7,1144.9,507.0,839.0,1179.5,6.95,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,100,16,1,5,128071.1,210.6,768.4,1098.8,1300.5,768.8,1100.6,1302.7,768.4,1100.1,1289.5,6.71,0,0,cluster-leader,,3,leader,239.0,1:F:33.3;2:F:32.6;3:L*:173.1,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,5,101848.8,190.2,968.5,1411.4,2073.5,969.1,1412.0,2102.9,968.9,1407.3,1842.4,6.73,0,0,cluster-follower,,3,follower,242.8,1:F*:154.1;2:F:33.0;3:L:55.7,0,0,0,0,0,0,0,0
