server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,producers-consumers,10,16,1,3,145959.4,160.3,65.5,135.5,187.5,66.0,135.4,188.3,65.2,134.9,187.0,6.83,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,16,1,3,19479.2,90.8,511.8,669.0,940.8,508.7,664.4,1026.0,508.0,663.8,921.1,6.77,0,0,cluster-leader,,3,leader,140.4,1:F:28.4;2:F:28.4;3:L*:83.6,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,3,16844.9,54.2,603.7,822.8,1042.7,583.0,808.5,1049.1,583.1,811.2,978.9,7.43,0,0,cluster-follower,,3,follower,158.2,1:F*:54.9;2:F:28.8;3:L:74.5,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,4,146575.7,160.1,65.3,134.9,190.0,65.7,135.6,190.0,65.0,134.3,191.6,7.82,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,16,1,4,19813.5,91.6,502.1,663.0,786.9,499.0,657.1,792.9,498.8,662.9,786.6,7.69,0,0,cluster-leader,,3,leader,143.1,1:F:28.7;2:F:29.8;3:L*:84.6,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,4,16381.8,51.6,624.7,834.1,990.8,603.6,820.4,976.8,602.1,814.3,960.5,7.67,0,0,cluster-follower,,3,follower,152.2,1:F*:53.0;2:F:27.9;3:L:71.3,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,5,146348.7,160.2,65.3,135.2,193.8,65.8,136.4,190.9,65.1,135.1,193.0,7.44,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,16,1,5,19841.8,91.3,501.3,666.9,945.8,497.9,661.8,944.2,497.5,662.4,854.0,7.44,0,0,cluster-leader,,3,leader,141.6,1:F:29.4;2:F:28.2;3:L*:84.0,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,5,17902.1,47.3,574.6,732.3,862.7,554.9,723.6,838.5,555.6,720.9,864.2,6.81,0,0,cluster-follower,,3,follower,146.4,1:F*:50.0;2:F:26.9;3:L:69.5,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,1,137302.6,173.9,70.0,145.1,202.7,69.8,143.9,200.2,68.5,142.4,199.3,6.59,0,0,none,,,,,,,,,,,,,
