server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode
rs,put-reserve-delete,100,4096,1,2,175660.7,272.4,548.8,1865.3,2119.1,546.4,1854.5,2108.9,546.8,1844.6,2103.6,8.86,0,0,F
ref,put-reserve-delete,100,4096,1,2,109089.4,98.0,1031.4,8853.6,9763.0,691.9,7963.0,9184.5,658.7,1320.8,8888.2,8.71,0,0,default
rs,put-reserve-delete,100,4096,1,2,173493.1,270.2,548.3,2064.0,2742.0,546.0,2040.2,2757.7,546.3,2020.2,2742.5,8.42,0,0,default
ref,put-reserve-delete,100,4096,1,2,25611.6,33.4,2496.5,30766.7,587830.0,1492.1,8812.2,527242.8,1582.0,3771.7,342069.8,8.54,0,0,f0
rs,put-reserve-delete,100,4096,1,2,24525.0,47.7,1856.9,3839.1,573950.8,1432.9,2651.8,630868.8,1374.9,3465.6,521863.7,8.02,0,0,f0
ref,put-reserve-delete,100,4096,1,3,180961.0,99.0,682.5,940.6,1138.3,474.5,651.6,983.9,473.5,650.9,806.3,7.46,0,0,none
rs,put-reserve-delete,100,4096,1,3,202882.8,206.3,487.8,646.9,741.3,487.9,647.7,748.3,487.0,646.5,745.1,7.34,0,0,none
ref,put-reserve-delete,100,4096,1,3,110235.1,98.8,1033.3,8544.8,9072.3,691.2,7915.2,8434.4,657.8,1060.3,8359.8,7.07,0,0,F
rs,put-reserve-delete,100,4096,1,3,175971.0,273.4,548.1,1851.8,2089.5,545.8,1843.7,2084.5,546.2,1854.5,2080.3,6.83,0,0,F
ref,put-reserve-delete,100,4096,1,3,109082.0,97.9,1030.0,8637.6,9669.6,690.6,7582.0,8787.5,657.4,1538.6,8416.6,6.92,0,0,default
